image_id,image_array
ISIC_0027419,"[[[0.73333333 0.58823529 0.75294118]
  [0.74509804 0.60392157 0.76470588]
  [0.75294118 0.61176471 0.77647059]
  ...
  [0.76470588 0.6        0.65490196]
  [0.76470588 0.61176471 0.65882353]
  [0.76470588 0.61568627 0.66666667]]

 [[0.7372549  0.59215686 0.75686275]
  [0.74901961 0.60784314 0.76862745]
  [0.76078431 0.61176471 0.78039216]
  ...
  [0.76078431 0.60392157 0.65490196]
  [0.76470588 0.61960784 0.6627451 ]
  [0.76862745 0.61176471 0.6627451 ]]

 [[0.74117647 0.58823529 0.75294118]
  [0.75294118 0.59607843 0.75686275]
  [0.75686275 0.6        0.76078431]
  ...
  [0.76078431 0.60392157 0.65098039]
  [0.77254902 0.61568627 0.67058824]
  [0.76862745 0.61176471 0.65490196]]

 ...

 [[0.62352941 0.48627451 0.61568627]
  [0.63921569 0.49803922 0.62352941]
  [0.64705882 0.50588235 0.61960784]
  ...
  [0.7254902  0.6        0.69019608]
  [0.71372549 0.58823529 0.6627451 ]
  [0.70196078 0.57254902 0.62745098]]

 [[0.61568627 0.48627451 0.60784314]
  [0.62352941 0.49019608 0.60784314]
  [0.63921569 0.49019608 0.60392157]
  ...
  [0.7254902  0.60784314 0.70980392]
  [0.70980392 0.58431373 0.65882353]
  [0.69411765 0.56862745 0.61960784]]

 [[0.60784314 0.47843137 0.59607843]
  [0.61568627 0.47058824 0.59607843]
  [0.62745098 0.4745098  0.58823529]
  ...
  [0.72156863 0.61960784 0.7254902 ]
  [0.70980392 0.58823529 0.66666667]
  [0.68627451 0.56470588 0.62745098]]]"
ISIC_0025030,"[[[0.09411765 0.05098039 0.08627451]
  [0.09803922 0.05098039 0.09019608]
  [0.09411765 0.05490196 0.09019608]
  ...
  [0.23529412 0.14509804 0.24705882]
  [0.23529412 0.14509804 0.25098039]
  [0.23921569 0.14901961 0.25098039]]

 [[0.09411765 0.04705882 0.08627451]
  [0.09019608 0.05098039 0.09019608]
  [0.09019608 0.05098039 0.08235294]
  ...
  [0.23921569 0.14901961 0.25490196]
  [0.23529412 0.1372549  0.25490196]
  [0.23921569 0.14509804 0.25490196]]

 [[0.09019608 0.05098039 0.08627451]
  [0.08627451 0.05098039 0.07843137]
  [0.08627451 0.05098039 0.08627451]
  ...
  [0.23137255 0.14901961 0.25490196]
  [0.23921569 0.1372549  0.25490196]
  [0.23137255 0.1372549  0.25098039]]

 ...

 [[0.23921569 0.14509804 0.23529412]
  [0.25098039 0.15686275 0.23921569]
  [0.25490196 0.16078431 0.25098039]
  ...
  [0.09803922 0.05490196 0.10196078]
  [0.09411765 0.05098039 0.09803922]
  [0.09411765 0.04705882 0.09411765]]

 [[0.23921569 0.14901961 0.23529412]
  [0.24313725 0.15294118 0.23921569]
  [0.25490196 0.15686275 0.24313725]
  ...
  [0.09411765 0.05882353 0.09411765]
  [0.09019608 0.05098039 0.09411765]
  [0.08627451 0.04705882 0.08235294]]

 [[0.24313725 0.14509804 0.23921569]
  [0.24705882 0.14901961 0.24705882]
  [0.25098039 0.15686275 0.23921569]
  ...
  [0.10196078 0.05490196 0.09411765]
  [0.09019608 0.05490196 0.08627451]
  [0.09019608 0.04705882 0.09019608]]]"
ISIC_0026769,"[[[0.72941176 0.49803922 0.52941176]
  [0.7372549  0.50588235 0.5372549 ]
  [0.74901961 0.52941176 0.57647059]
  ...
  [0.51372549 0.36862745 0.42745098]
  [0.49411765 0.34117647 0.40392157]
  [0.48235294 0.3254902  0.39215686]]

 [[0.72941176 0.49803922 0.52941176]
  [0.73333333 0.50196078 0.5372549 ]
  [0.74117647 0.51764706 0.56470588]
  ...
  [0.52156863 0.37647059 0.43137255]
  [0.50196078 0.35294118 0.41176471]
  [0.49019608 0.32941176 0.39607843]]

 [[0.70588235 0.49019608 0.53333333]
  [0.71372549 0.48627451 0.52941176]
  [0.7254902  0.50196078 0.54901961]
  ...
  [0.53333333 0.37647059 0.43921569]
  [0.51764706 0.36078431 0.41176471]
  [0.49411765 0.3372549  0.4       ]]

 ...

 [[0.75294118 0.52156863 0.52156863]
  [0.74901961 0.51372549 0.52156863]
  [0.73333333 0.49803922 0.51372549]
  ...
  [0.47843137 0.36862745 0.38039216]
  [0.43921569 0.32156863 0.34117647]
  [0.43137255 0.29803922 0.3254902 ]]

 [[0.74117647 0.51372549 0.50588235]
  [0.7254902  0.50196078 0.51372549]
  [0.7254902  0.49019608 0.51372549]
  ...
  [0.47058824 0.33333333 0.34509804]
  [0.43529412 0.28627451 0.29803922]
  [0.41960784 0.2627451  0.27843137]]

 [[0.7254902  0.50196078 0.49803922]
  [0.72941176 0.50196078 0.5254902 ]
  [0.7254902  0.49019608 0.52156863]
  ...
  [0.45098039 0.29019608 0.30196078]
  [0.40784314 0.25098039 0.25490196]
  [0.39215686 0.23137255 0.23137255]]]"
ISIC_0025661,"[[[0.09019608 0.04313725 0.05882353]
  [0.09411765 0.04313725 0.07058824]
  [0.09411765 0.03921569 0.0745098 ]
  ...
  [0.22352941 0.1254902  0.16470588]
  [0.22745098 0.1254902  0.16078431]
  [0.23529412 0.12156863 0.15686275]]

 [[0.09019608 0.04705882 0.0627451 ]
  [0.09411765 0.04313725 0.0745098 ]
  [0.09411765 0.04313725 0.07843137]
  ...
  [0.22352941 0.12156863 0.16470588]
  [0.22745098 0.12156863 0.16470588]
  [0.23137255 0.12156863 0.16078431]]

 [[0.09019608 0.04313725 0.0627451 ]
  [0.09411765 0.03921569 0.0745098 ]
  [0.09803922 0.04705882 0.08235294]
  ...
  [0.22745098 0.1254902  0.16862745]
  [0.22352941 0.11764706 0.16078431]
  [0.23137255 0.12156863 0.16078431]]

 ...

 [[0.24705882 0.13333333 0.18039216]
  [0.24313725 0.1372549  0.18039216]
  [0.25098039 0.1372549  0.18431373]
  ...
  [0.09411765 0.03921569 0.05882353]
  [0.09411765 0.03921569 0.05490196]
  [0.09411765 0.03137255 0.05098039]]

 [[0.23921569 0.13333333 0.17647059]
  [0.24313725 0.13333333 0.18431373]
  [0.25098039 0.1372549  0.18431373]
  ...
  [0.09411765 0.03921569 0.05882353]
  [0.09411765 0.03529412 0.05490196]
  [0.08627451 0.02745098 0.04313725]]

 [[0.23921569 0.13333333 0.17647059]
  [0.23529412 0.13333333 0.18039216]
  [0.24313725 0.1372549  0.18431373]
  ...
  [0.09411765 0.04313725 0.05882353]
  [0.09019608 0.03529412 0.04705882]
  [0.07843137 0.02745098 0.04705882]]]"
ISIC_0031633,"[[[0.49019608 0.3254902  0.41176471]
  [0.51764706 0.34901961 0.43921569]
  [0.54117647 0.36470588 0.45882353]
  ...
  [0.55294118 0.45490196 0.54509804]
  [0.52156863 0.42352941 0.50196078]
  [0.49411765 0.39607843 0.46666667]]

 [[0.50196078 0.34117647 0.42745098]
  [0.53333333 0.36078431 0.45098039]
  [0.55686275 0.38039216 0.47058824]
  ...
  [0.56470588 0.44313725 0.54901961]
  [0.54117647 0.42352941 0.54117647]
  [0.52156863 0.41568627 0.53333333]]

 [[0.52156863 0.35294118 0.43921569]
  [0.54901961 0.37254902 0.4627451 ]
  [0.56862745 0.39607843 0.48627451]
  ...
  [0.58431373 0.45098039 0.5254902 ]
  [0.56078431 0.42745098 0.51372549]
  [0.54117647 0.40784314 0.50980392]]

 ...

 [[0.36862745 0.24705882 0.30588235]
  [0.39607843 0.27058824 0.32941176]
  [0.42352941 0.29019608 0.35294118]
  ...
  [0.32156863 0.21176471 0.27058824]
  [0.27058824 0.16078431 0.21960784]
  [0.21176471 0.11764706 0.17254902]]

 [[0.35294118 0.23529412 0.29019608]
  [0.38039216 0.25490196 0.31372549]
  [0.40784314 0.28235294 0.34117647]
  ...
  [0.29411765 0.18039216 0.24313725]
  [0.23921569 0.13333333 0.19215686]
  [0.18823529 0.09019608 0.14509804]]

 [[0.34117647 0.22352941 0.28235294]
  [0.36470588 0.24313725 0.30196078]
  [0.39607843 0.2745098  0.32941176]
  ...
  [0.2627451  0.15686275 0.21960784]
  [0.20784314 0.10588235 0.16470588]
  [0.16470588 0.07058824 0.1254902 ]]]"
ISIC_0027850,"[[[0.01568627 0.         0.        ]
  [0.01568627 0.         0.00392157]
  [0.01960784 0.         0.00392157]
  ...
  [0.16470588 0.05098039 0.09019608]
  [0.15294118 0.04705882 0.0745098 ]
  [0.14509804 0.03921569 0.0627451 ]]

 [[0.01568627 0.         0.        ]
  [0.01568627 0.         0.00392157]
  [0.01960784 0.         0.00784314]
  ...
  [0.16862745 0.05098039 0.09411765]
  [0.15686275 0.04705882 0.07843137]
  [0.14117647 0.04313725 0.0745098 ]]

 [[0.01568627 0.         0.        ]
  [0.01960784 0.         0.00784314]
  [0.02352941 0.         0.00784314]
  ...
  [0.17254902 0.05490196 0.09803922]
  [0.15686275 0.04705882 0.08235294]
  [0.14509804 0.04705882 0.08235294]]

 ...

 [[0.01568627 0.         0.00784314]
  [0.01960784 0.         0.01176471]
  [0.02745098 0.00392157 0.01960784]
  ...
  [0.01568627 0.         0.        ]
  [0.01568627 0.         0.        ]
  [0.01568627 0.         0.        ]]

 [[0.01568627 0.         0.00392157]
  [0.01568627 0.         0.00392157]
  [0.02352941 0.         0.01960784]
  ...
  [0.01568627 0.         0.        ]
  [0.01568627 0.         0.        ]
  [0.01568627 0.         0.        ]]

 [[0.01568627 0.         0.00392157]
  [0.01568627 0.         0.00392157]
  [0.01960784 0.         0.01960784]
  ...
  [0.01568627 0.         0.        ]
  [0.01568627 0.         0.        ]
  [0.01568627 0.         0.        ]]]"
ISIC_0029176,"[[[0.74901961 0.55686275 0.4745098 ]
  [0.74117647 0.56078431 0.49411765]
  [0.74901961 0.56470588 0.49803922]
  ...
  [0.74901961 0.57254902 0.57647059]
  [0.74509804 0.56078431 0.56862745]
  [0.74901961 0.55294118 0.56862745]]

 [[0.74509804 0.56470588 0.49411765]
  [0.74901961 0.56862745 0.50588235]
  [0.75686275 0.57254902 0.51372549]
  ...
  [0.74901961 0.56470588 0.57254902]
  [0.74901961 0.55686275 0.57254902]
  [0.74901961 0.55294118 0.56862745]]

 [[0.75294118 0.58039216 0.51764706]
  [0.76078431 0.58039216 0.52156863]
  [0.75294118 0.57647059 0.52156863]
  ...
  [0.75294118 0.56470588 0.56078431]
  [0.74509804 0.55686275 0.55686275]
  [0.74509804 0.55294118 0.55294118]]

 ...

 [[0.79607843 0.63529412 0.63529412]
  [0.8        0.62352941 0.63137255]
  [0.8        0.62352941 0.63137255]
  ...
  [0.81960784 0.62745098 0.64313725]
  [0.81568627 0.62745098 0.64313725]
  [0.80784314 0.63529412 0.64313725]]

 [[0.79607843 0.63137255 0.63529412]
  [0.80392157 0.62352941 0.63137255]
  [0.80784314 0.61960784 0.63529412]
  ...
  [0.81568627 0.63529412 0.64705882]
  [0.81568627 0.62745098 0.64705882]
  [0.81176471 0.63137255 0.65098039]]

 [[0.78823529 0.63137255 0.63529412]
  [0.8        0.63529412 0.64313725]
  [0.81568627 0.62745098 0.64705882]
  ...
  [0.81176471 0.63529412 0.64705882]
  [0.81568627 0.62745098 0.64313725]
  [0.81960784 0.62352941 0.64313725]]]"
ISIC_0029068,"[[[0.56862745 0.39215686 0.32156863]
  [0.58431373 0.41568627 0.3372549 ]
  [0.58823529 0.43529412 0.35294118]
  ...
  [0.21960784 0.1254902  0.14117647]
  [0.20784314 0.1254902  0.1372549 ]
  [0.20392157 0.13333333 0.1372549 ]]

 [[0.56862745 0.4        0.31764706]
  [0.59215686 0.41960784 0.34117647]
  [0.6        0.42745098 0.35686275]
  ...
  [0.22352941 0.12941176 0.14509804]
  [0.20784314 0.13333333 0.1372549 ]
  [0.20392157 0.1254902  0.13333333]]

 [[0.57647059 0.4        0.30980392]
  [0.59607843 0.41960784 0.34509804]
  [0.60784314 0.43137255 0.36078431]
  ...
  [0.23529412 0.1372549  0.15294118]
  [0.21176471 0.12941176 0.14117647]
  [0.20784314 0.1254902  0.1372549 ]]

 ...

 [[0.50980392 0.39607843 0.34901961]
  [0.52941176 0.41176471 0.37254902]
  [0.55294118 0.42352941 0.38431373]
  ...
  [0.09803922 0.05490196 0.05490196]
  [0.09019608 0.05098039 0.04705882]
  [0.08627451 0.05098039 0.04313725]]

 [[0.50196078 0.37647059 0.33333333]
  [0.51764706 0.4        0.36078431]
  [0.5372549  0.41176471 0.37647059]
  ...
  [0.09411765 0.05490196 0.05098039]
  [0.09019608 0.05098039 0.04313725]
  [0.08627451 0.05098039 0.04705882]]

 [[0.49803922 0.36470588 0.3254902 ]
  [0.50588235 0.38823529 0.34509804]
  [0.52156863 0.40392157 0.36078431]
  ...
  [0.09803922 0.05098039 0.05098039]
  [0.09019608 0.05098039 0.05098039]
  [0.09019608 0.05098039 0.04313725]]]"
ISIC_0025837,"[[[0.36470588 0.23529412 0.23137255]
  [0.38823529 0.25490196 0.25098039]
  [0.41176471 0.28235294 0.2745098 ]
  ...
  [0.43529412 0.30588235 0.31764706]
  [0.41568627 0.29411765 0.30196078]
  [0.38823529 0.26666667 0.2745098 ]]

 [[0.36470588 0.23529412 0.23529412]
  [0.4        0.2627451  0.27058824]
  [0.42352941 0.29411765 0.29803922]
  ...
  [0.44313725 0.31764706 0.3254902 ]
  [0.43137255 0.30980392 0.32156863]
  [0.4        0.2745098  0.28627451]]

 [[0.38431373 0.23921569 0.23137255]
  [0.41176471 0.26666667 0.2627451 ]
  [0.43529412 0.30196078 0.30196078]
  ...
  [0.46666667 0.34117647 0.35294118]
  [0.43137255 0.31372549 0.31764706]
  [0.40784314 0.28235294 0.29019608]]

 ...

 [[0.21176471 0.10980392 0.12941176]
  [0.20392157 0.10980392 0.1254902 ]
  [0.19607843 0.10980392 0.13333333]
  ...
  [0.07058824 0.02352941 0.03921569]
  [0.06666667 0.02352941 0.03921569]
  [0.07058824 0.02745098 0.04705882]]

 [[0.21568627 0.11372549 0.1372549 ]
  [0.20392157 0.10980392 0.13333333]
  [0.20392157 0.11372549 0.14117647]
  ...
  [0.07058824 0.02745098 0.03921569]
  [0.06666667 0.02745098 0.03921569]
  [0.07058824 0.02745098 0.03921569]]

 [[0.21568627 0.11372549 0.14117647]
  [0.21176471 0.10980392 0.1372549 ]
  [0.20784314 0.11372549 0.13333333]
  ...
  [0.07058824 0.02745098 0.03921569]
  [0.07058824 0.02745098 0.04313725]
  [0.07058824 0.02745098 0.03921569]]]"
ISIC_0025209,"[[[0.90196078 0.69019608 0.76078431]
  [0.89803922 0.69019608 0.76470588]
  [0.89411765 0.68627451 0.76470588]
  ...
  [0.89803922 0.69803922 0.82352941]
  [0.89411765 0.67058824 0.76862745]
  [0.8745098  0.65490196 0.74117647]]

 [[0.89019608 0.6745098  0.7372549 ]
  [0.89803922 0.68627451 0.74509804]
  [0.90196078 0.71764706 0.77647059]
  ...
  [0.90196078 0.69019608 0.78823529]
  [0.89019608 0.67058824 0.73333333]
  [0.87843137 0.65490196 0.71764706]]

 [[0.89411765 0.68235294 0.74509804]
  [0.89411765 0.71372549 0.75294118]
  [0.90588235 0.75294118 0.81960784]
  ...
  [0.89803922 0.67843137 0.77254902]
  [0.90196078 0.67843137 0.74509804]
  [0.89803922 0.6745098  0.73333333]]

 ...

 [[0.79607843 0.54901961 0.62352941]
  [0.80784314 0.57647059 0.65098039]
  [0.8        0.57254902 0.65882353]
  ...
  [0.83529412 0.54509804 0.58039216]
  [0.84705882 0.57254902 0.6       ]
  [0.84705882 0.58039216 0.61176471]]

 [[0.80392157 0.56470588 0.62745098]
  [0.81568627 0.58039216 0.64313725]
  [0.8        0.57647059 0.64313725]
  ...
  [0.84313725 0.56470588 0.59215686]
  [0.84313725 0.56078431 0.59215686]
  [0.84313725 0.56862745 0.59607843]]

 [[0.79607843 0.56862745 0.61960784]
  [0.8        0.57647059 0.62352941]
  [0.80784314 0.56862745 0.61960784]
  ...
  [0.85098039 0.6        0.62352941]
  [0.85098039 0.57647059 0.60784314]
  [0.84705882 0.56862745 0.59215686]]]"
